# source: 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」巻末資料 職業性ストレス簡易調査票 簡略版(23項目) (docs/evidence/manual_main.pdf p.194) / license: 公共データ利用規約(第1.0版) PDL1.0 (CC BY 4.0 互換) 出典: 厚生労働省 https://stresscheck.mhlw.go.jp/ ・上記PDFから書き起こして加工
# note: 簡略版は57項目版の部分集合。source_item_57 列が57項目版の通し番号への対応。設問文・選択肢は57項目版と逐語同一。
# note: 逆転項目は簡略版に含まれるA1-3のみ (57項目版の逆転対象 A1-7,11-13,15 / B1-3 のうち簡略版に残るものが A1-3 だけであるため)。
# columns: item_no=簡略版1-origin通し番号 / source_item_57=57項目版の通し番号 / domain=A|B|C / domain_item_no=57項目版の領域内番号 / scale=57項目版の素点換算表における尺度 / context=C領域の共通設問文 / text=設問全文 / choices=選択肢(1|2|3|4の順) / reverse=1なら1<->4,2<->3に逆転 / scored=高ストレス判定に使うか
item_no,source_item_57,domain,domain_item_no,scale,context,text,choices,reverse,scored
1,1,A,1,心理的な仕事の負担（量）,,非常にたくさんの仕事をしなければならない,そうだ|まあそうだ|ややちがう|ちがう,1,1
2,2,A,2,心理的な仕事の負担（量）,,時間内に仕事が処理しきれない,そうだ|まあそうだ|ややちがう|ちがう,1,1
3,3,A,3,心理的な仕事の負担（量）,,一生懸命働かなければならない,そうだ|まあそうだ|ややちがう|ちがう,1,1
4,8,A,8,仕事のコントロール度,,自分のペースで仕事ができる,そうだ|まあそうだ|ややちがう|ちがう,0,1
5,9,A,9,仕事のコントロール度,,自分で仕事の順番・やり方を決めることができる,そうだ|まあそうだ|ややちがう|ちがう,0,1
6,10,A,10,仕事のコントロール度,,職場の仕事の方針に自分の意見を反映できる,そうだ|まあそうだ|ややちがう|ちがう,0,1
7,24,B,7,疲労感,,ひどく疲れた,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
8,25,B,8,疲労感,,へとへとだ,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
9,26,B,9,疲労感,,だるい,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
10,27,B,10,不安感,,気がはりつめている,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
11,28,B,11,不安感,,不安だ,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
12,29,B,12,不安感,,落着かない,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
13,30,B,13,抑うつ感,,ゆううつだ,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
14,31,B,14,抑うつ感,,何をするのも面倒だ,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
15,33,B,16,抑うつ感,,気分が晴れない,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
16,44,B,27,身体愁訴,,食欲がない,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
17,46,B,29,身体愁訴,,よく眠れない,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
18,47,C,1,上司からのサポート,次の人たちはどのくらい気軽に話ができますか？,上司,非常に|かなり|多少|全くない,0,1
19,48,C,2,同僚からのサポート,次の人たちはどのくらい気軽に話ができますか？,職場の同僚,非常に|かなり|多少|全くない,0,1
20,50,C,4,上司からのサポート,あなたが困った時、次の人たちはどのくらい頼りになりますか？,上司,非常に|かなり|多少|全くない,0,1
21,51,C,5,同僚からのサポート,あなたが困った時、次の人たちはどのくらい頼りになりますか？,職場の同僚,非常に|かなり|多少|全くない,0,1
22,53,C,7,上司からのサポート,あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,上司,非常に|かなり|多少|全くない,0,1
23,54,C,8,同僚からのサポート,あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,職場の同僚,非常に|かなり|多少|全くない,0,1
